status,filepath,size_bytes,n_trees,tree_names
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_55.root,41995,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_255.root,43377,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_246.root,43704,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_305.root,44079,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_53.root,43217,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_301.root,41098,4,h100;h3;h1;h50
NO_TREE,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_440.root,623,0,
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_358.root,42731,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_61.root,44724,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_195.root,42942,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_156.root,43984,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_56.root,41224,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_74.root,42916,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_44.root,45132,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_2.root,44041,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_209.root,45330,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_242.root,42995,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_178.root,45180,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_415.root,44323,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_79.root,44111,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_364.root,41218,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_247.root,41048,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_233.root,42350,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_389.root,41270,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_309.root,44842,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_93.root,44586,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_304.root,42490,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_266.root,41490,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_166.root,42228,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_122.root,43218,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_239.root,41420,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_52.root,43097,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_238.root,42001,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_273.root,44274,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_51.root,43108,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_206.root,43198,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_416.root,42143,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_295.root,42558,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_431.root,44823,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_375.root,44052,4,h100;h3;h1;h50
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_181.root,43414,4,h100;h3;h1;h50
NO_TREE,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_438.root,623,0,
OK,/exp/uboone/data/users/jburridg/Nuance/NUANCE/NUANCE_event_files/output/root/PoT_Nuance_event_files/sixth_test_run/uncombined/events_161.root,44480,4,h100;h3;h1;h50
